
Opening Error Output File (MD2ERROR.TXT) on Thu Jan 09 16:46:56.330, 2003


columns = 40, rows = 40
col_vstep = 102.564102, row_vstep = 102.564102
col_tstep=6.538462, row_tstep=6.538462
num_vertices = 1600, num_polys = 3042
Vertex 73: V[1384.615356, 2.745098, -1897.435913], T[215.769241, 6.538462]
Vertex 74: V[1487.179443, 0.000000, -1897.435913], T[222.307693, 6.538462]
Vertex 75: V[1589.743530, 0.000000, -1897.435913], T[228.846161, 6.538462]
Vertex 76: V[1692.307617, 0.000000, -1897.435913], T[235.384613, 6.538462]
Vertex 77: V[1794.871826, 0.000000, -1897.435913], T[241.923080, 6.538462]
Vertex 78: V[1897.435913, 0.000000, -1897.435913], T[248.461548, 6.538462]
Vertex 79: V[2000.000000, 0.000000, -1897.435913], T[255.000000, 6.538462]
Vertex 80: V[-2000.000000, 32.941177, -1794.871826], T[0.000000, 13.076923]
Vertex 81: V[-1897.435913, 57.647060, -1794.871826], T[6.538462, 13.076923]
Vertex 82: V[-1794.871826, 79.607849, -1794.871826], T[13.076923, 13.076923]
Vertex 83: V[-1692.307739, 74.117653, -1794.871826], T[19.615385, 13.076923]
Vertex 84: V[-1589.743652, 46.666668, -1794.871826], T[26.153847, 13.076923]
Vertex 85: V[-1487.179443, 16.470589, -1794.871826], T[32.692307, 13.076923]
Vertex 86: V[-1384.615356, 2.745098, -1794.871826], T[39.230770, 13.076923]
Vertex 87: V[-1282.051270, 0.000000, -1794.871826], T[45.769234, 13.076923]
Vertex 88: V[-1179.487183, 0.000000, -1794.871826], T[52.307693, 13.076923]
Vertex 89: V[-1076.923096, 0.000000, -1794.871826], T[58.846153, 13.076923]
Vertex 90: V[-974.359009, 5.490196, -1794.871826], T[65.384613, 13.076923]
Vertex 91: V[-871.794861, 10.980392, -1794.871826], T[71.923080, 13.076923]
Vertex 92: V[-769.230774, 19.215687, -1794.871826], T[78.461540, 13.076923]
Vertex 93: V[-666.666687, 16.470589, -1794.871826], T[85.000000, 13.076923]
Vertex 94: V[-564.102539, 8.235294, -1794.871826], T[91.538467, 13.076923]
Vertex 95: V[-461.538452, 2.745098, -1794.871826], T[98.076927, 13.076923]
Vertex 96: V[-358.974365, 0.000000, -1794.871826], T[104.615387, 13.076923]
Vertex 97: V[-256.410278, 0.000000, -1794.871826], T[111.153847, 13.076923]
Vertex 98: V[-153.846161, 0.000000, -1794.871826], T[117.692307, 13.076923]
Vertex 99: V[-51.282059, 8.235294, -1794.871826], T[124.230774, 13.076923]
Vertex 100: V[51.282043, 24.705883, -1794.871826], T[130.769226, 13.076923]
Vertex 101: V[153.846146, 38.431374, -1794.871826], T[137.307693, 13.076923]
Vertex 102: V[256.410248, 41.176472, -1794.871826], T[143.846161, 13.076923]
Vertex 103: V[358.974365, 27.450981, -1794.871826], T[150.384613, 13.076923]
Vertex 104: V[461.538452, 10.980392, -1794.871826], T[156.923080, 13.076923]
Vertex 105: V[564.102539, 0.000000, -1794.871826], T[163.461548, 13.076923]
Vertex 106: V[666.666626, 0.000000, -1794.871826], T[170.000000, 13.076923]
Vertex 107: V[769.230774, 5.490196, -1794.871826], T[176.538467, 13.076923]
Vertex 108: V[871.794861, 21.960785, -1794.871826], T[183.076935, 13.076923]
Vertex 109: V[974.358948, 43.921570, -1794.871826], T[189.615387, 13.076923]
Vertex 110: V[1076.923096, 57.647060, -1794.871826], T[196.153854, 13.076923]
Vertex 111: V[1179.487183, 49.411766, -1794.871826], T[202.692307, 13.076923]
Vertex 112: V[1282.051270, 27.450981, -1794.871826], T[209.230774, 13.076923]
Vertex 113: V[1384.615356, 8.235294, -1794.871826], T[215.769241, 13.076923]
Vertex 114: V[1487.179443, 0.000000, -1794.871826], T[222.307693, 13.076923]
Vertex 115: V[1589.743530, 0.000000, -1794.871826], T[228.846161, 13.076923]
